dataset,task,model,RMSE,Accuracy,AUC-ROC,Infer_us/sample
dry_bean,multiclass,xRFM,—,0.8358,—,23.7169
dry_bean,multiclass,XGBoost,—,0.9254,0.9951,13.7262
dry_bean,multiclass,RF,—,0.9214,0.9928,56.8249
dry_bean,multiclass,MLP,—,0.9185,0.9949,1.2036
dry_bean,multiclass,TabNet,—,0.9144,0.9941,22.3803
ai4i_maintenance,binary,xRFM,—,0.978,0.9276,5.9249
ai4i_maintenance,binary,XGBoost,—,0.9855,0.9692,2.6224
ai4i_maintenance,binary,RF,—,0.9795,0.9651,66.2118
ai4i_maintenance,binary,MLP,—,0.9755,0.9604,1.0736
ai4i_maintenance,binary,TabNet,—,0.9745,0.9431,18.4659
bank_marketing,binary,xRFM,—,0.9067,0.924,31.2705
bank_marketing,binary,XGBoost,—,0.9085,0.9341,1.9779
bank_marketing,binary,RF,—,0.9057,0.9288,17.2911
bank_marketing,binary,MLP,—,0.905,0.9224,0.9024
bank_marketing,binary,TabNet,—,0.9032,0.9182,23.7735
online_news,regression,xRFM,10662.5738,—,—,25.325
online_news,regression,XGBoost,11050.3352,—,—,1.9291
online_news,regression,RF,11127.7091,—,—,27.3672
online_news,regression,MLP,10851.0501,—,—,0.9046
online_news,regression,TabNet,10835.8475,—,—,23.7322
superconductivity,regression,xRFM,9.8063,—,—,9.7912
superconductivity,regression,XGBoost,9.5224,—,—,2.1683
superconductivity,regression,RF,9.3859,—,—,34.4678
superconductivity,regression,MLP,11.5523,—,—,0.96
superconductivity,regression,TabNet,12.9696,—,—,25.3546
